red,green,blue,lum
R=92,G=122,B=9,L=668
R=92,G=128,B=11,L=670
R=90,G=125,B=10,L=669
R=94,G=125,B=11,L=670
R=93,G=123,B=10,L=669
R=93,G=124,B=10,L=669
R=92,G=122,B=8,L=668
R=92,G=122,B=8,L=668
R=91,G=123,B=10,L=668
R=93,G=122,B=9,L=668
R=94,G=126,B=11,L=670
R=91,G=121,B=13,L=668
R=93,G=119,B=5,L=666
R=95,G=125,B=10,L=670
R=95,G=125,B=10,L=670
R=92,G=123,B=10,L=668
R=92,G=122,B=9,L=668
R=92,G=123,B=10,L=668
R=93,G=122,B=10,L=669
R=93,G=127,B=10,L=670
R=92,G=122,B=8,L=668
R=94,G=125,B=9,L=669
R=98,G=120,B=8,L=668
R=92,G=122,B=16,L=671
R=94,G=124,B=9,L=669
R=94,G=125,B=11,L=670
R=94,G=124,B=9,L=669
R=93,G=125,B=11,L=669
R=92,G=122,B=9,L=668
R=94,G=126,B=11,L=669
R=91,G=124,B=10,L=668
R=94,G=126,B=11,L=670
R=93,G=124,B=10,L=669
R=95,G=126,B=11,L=670
R=93,G=124,B=11,L=668
R=93,G=122,B=9,L=668
R=95,G=124,B=10,L=670
R=93,G=123,B=10,L=669
R=90,G=119,B=12,L=668
R=98,G=127,B=10,L=671
R=92,G=122,B=9,L=668
R=90,G=122,B=10,L=668
R=95,G=124,B=13,L=670
R=93,G=124,B=11,L=669
R=92,G=121,B=8,L=668
R=93,G=125,B=11,L=669
R=92,G=125,B=12,L=669
R=94,G=124,B=11,L=670
R=94,G=126,B=11,L=670
R=91,G=120,B=8,L=667
R=95,G=124,B=9,L=669
R=92,G=122,B=9,L=668
R=95,G=125,B=10,L=669
R=94,G=125,B=9,L=668
R=95,G=126,B=11,L=669
R=93,G=124,B=10,L=668
R=93,G=124,B=10,L=668
R=95,G=125,B=9,L=669
R=96,G=126,B=12,L=670
R=95,G=127,B=10,L=669
R=96,G=126,B=10,L=669
R=98,G=125,B=9,L=670
R=97,G=129,B=10,L=670
R=97,G=125,B=9,L=669
R=97,G=127,B=11,L=670
R=95,G=124,B=10,L=668
R=97,G=130,B=9,L=670
R=95,G=125,B=10,L=669
R=88,G=125,B=7,L=667
R=95,G=128,B=12,L=670
R=96,G=128,B=11,L=670
R=97,G=128,B=12,L=670
R=96,G=126,B=9,L=669
R=100,G=125,B=7,L=670
R=96,G=127,B=11,L=670
R=97,G=127,B=11,L=670
R=92,G=124,B=9,L=667
R=92,G=123,B=12,L=668
R=95,G=127,B=10,L=669
R=95,G=125,B=11,L=669
R=95,G=125,B=10,L=669
R=97,G=124,B=9,L=669
R=97,G=125,B=7,L=669
R=95,G=125,B=11,L=669
R=94,G=123,B=11,L=667
R=93,G=131,B=10,L=670
R=95,G=125,B=10,L=669
R=96,G=126,B=11,L=670
R=95,G=125,B=10,L=669
R=95,G=125,B=9,L=669
R=97,G=126,B=11,L=670
R=94,G=124,B=8,L=668
R=95,G=128,B=12,L=670
R=96,G=126,B=12,L=670
R=94,G=124,B=9,L=668
R=95,G=127,B=12,L=670
R=101,G=128,B=10,L=671
R=95,G=129,B=10,L=670
