red,green,blue,lum
R=228,G=46,B=37,L=664
R=229,G=43,B=37,L=663
R=232,G=44,B=37,L=664
R=231,G=44,B=37,L=664
R=187,G=38,B=32,L=661
R=157,G=34,B=27,L=659
R=115,G=24,B=17,L=655
R=67,G=18,B=14,L=652
R=55,G=13,B=10,L=650
R=56,G=12,B=10,L=650
R=91,G=23,B=16,L=654
R=106,G=19,B=20,L=653
R=121,G=24,B=23,L=655
R=147,G=34,B=24,L=659
R=168,G=34,B=27,L=658
R=205,G=42,B=34,L=662
R=233,G=45,B=37,L=665
R=232,G=41,B=34,L=664
R=227,G=42,B=35,L=664
R=219,G=32,B=35,L=661
R=220,G=35,B=34,L=662
R=226,G=40,B=34,L=662
R=231,G=46,B=36,L=664
R=213,G=45,B=34,L=663
R=179,G=38,B=32,L=661
R=149,G=38,B=28,L=659
R=138,G=33,B=24,L=658
R=0,G=27,B=22,L=655
R=115,G=29,B=21,L=656
R=106,G=23,B=21,L=655
R=101,G=23,B=19,L=654
R=97,G=25,B=19,L=655
R=68,G=17,B=13,L=651
R=62,G=16,B=13,L=652
R=56,G=14,B=12,L=651
R=66,G=17,B=13,L=652
R=85,G=19,B=18,L=652
R=115,G=27,B=21,L=656
R=134,G=30,B=24,L=657
R=153,G=35,B=28,L=660
R=155,G=35,B=27,L=659
R=162,G=36,B=27,L=659
R=169,G=35,B=27,L=659
R=179,G=37,B=30,L=660
R=190,G=44,B=31,L=662
R=204,G=43,B=35,L=662
R=209,G=43,B=33,L=663
R=207,G=42,B=34,L=662
R=222,G=44,B=36,L=664
R=219,G=42,B=35,L=663
R=211,G=41,B=34,L=662
R=214,G=45,B=36,L=664
R=216,G=43,B=35,L=664
R=216,G=42,B=36,L=663
R=208,G=41,B=37,L=662
R=186,G=39,B=34,L=661
R=144,G=32,B=24,L=657
R=138,G=32,B=26,L=658
R=121,G=27,B=21,L=655
R=106,G=26,B=19,L=655
R=93,G=22,B=14,L=654
R=85,G=19,B=15,L=652
R=76,G=18,B=15,L=652
R=70,G=16,B=14,L=651
R=57,G=13,B=10,L=650
