red,green,blue,lum
R=54,G=24,B=50,L=653
R=54,G=24,B=51,L=653
R=29,G=18,B=35,L=651
R=49,G=24,B=51,L=652
R=52,G=24,B=51,L=653
R=54,G=29,B=52,L=655
R=47,G=23,B=49,L=652
R=40,G=23,B=45,L=652
R=36,G=19,B=38,L=651
R=46,G=23,B=49,L=653
R=52,G=24,B=52,L=653
R=52,G=23,B=49,L=653
R=51,G=22,B=48,L=653
R=52,G=25,B=50,L=654
R=0,G=24,B=54,L=653
R=48,G=24,B=50,L=653
R=40,G=18,B=47,L=651
R=39,G=24,B=47,L=653
R=41,G=20,B=38,L=652
R=38,G=22,B=41,L=652
R=40,G=22,B=42,L=653
R=52,G=31,B=51,L=655
R=54,G=26,B=52,L=654
R=51,G=24,B=52,L=653
R=51,G=25,B=53,L=653
R=40,G=21,B=42,L=653
R=36,G=21,B=39,L=652
R=31,G=15,B=36,L=650
R=29,G=17,B=34,L=650
R=25,G=15,B=33,L=648
R=25,G=13,B=28,L=650
R=23,G=17,B=28,L=651
R=22,G=13,B=28,L=649
R=24,G=14,B=29,L=650
R=30,G=16,B=33,L=650
R=37,G=21,B=37,L=653
R=37,G=20,B=36,L=652
R=39,G=21,B=41,L=652
R=43,G=23,B=45,L=653
R=45,G=26,B=50,L=654
R=51,G=25,B=50,L=653
R=49,G=23,B=50,L=652
R=48,G=24,B=51,L=653
R=51,G=23,B=53,L=653
R=50,G=23,B=48,L=653
R=51,G=22,B=47,L=653
R=54,G=26,B=53,L=654
R=49,G=25,B=52,L=653
R=45,G=24,B=49,L=653
R=43,G=23,B=48,L=653
R=39,G=23,B=44,L=653
R=39,G=18,B=37,L=650
R=53,G=27,B=53,L=654
R=53,G=24,B=51,L=653
R=54,G=27,B=52,L=654
R=51,G=27,B=53,L=654
R=37,G=17,B=42,L=651
R=35,G=18,B=42,L=650
R=32,G=17,B=38,L=650
R=32,G=18,B=37,L=651
R=28,G=18,B=32,L=651
R=24,G=11,B=26,L=648
R=18,G=10,B=20,L=650
R=15,G=10,B=18,L=649
R=17,G=10,B=18,L=649
R=20,G=11,B=25,L=649
R=28,G=15,B=30,L=650
R=33,G=19,B=36,L=652
R=37,G=23,B=42,L=653
R=43,G=25,B=47,L=653
R=51,G=27,B=51,L=654
R=51,G=26,B=51,L=653
R=53,G=24,B=55,L=654
R=55,G=28,B=54,L=655
R=53,G=26,B=53,L=654
R=55,G=31,B=52,L=654
R=54,G=26,B=53,L=654
R=51,G=25,B=50,L=654
