red,green,blue,lum
R=168,G=20,B=16,L=659
R=175,G=16,B=18,L=658
R=176,G=16,B=19,L=658
R=176,G=16,B=18,L=658
R=173,G=18,B=21,L=659
R=176,G=16,B=18,L=658
R=112,G=14,B=13,L=655
R=177,G=20,B=20,L=660
R=172,G=16,B=18,L=658
R=174,G=19,B=20,L=660
R=172,G=20,B=20,L=659
R=161,G=19,B=17,L=658
R=170,G=17,B=18,L=658
R=175,G=17,B=16,L=658
R=176,G=19,B=19,L=659
R=175,G=19,B=20,L=659
R=154,G=19,B=19,L=659
R=178,G=15,B=18,L=658
R=182,G=18,B=19,L=660
R=128,G=16,B=15,L=656
R=128,G=17,B=17,L=657
R=127,G=14,B=15,L=655
R=174,G=16,B=17,L=658
R=177,G=20,B=19,L=660
R=166,G=17,B=14,L=659
R=160,G=13,B=16,L=657
R=162,G=15,B=16,L=658
R=163,G=14,B=15,L=658
R=0,G=20,B=20,L=660
R=177,G=17,B=19,L=659
R=152,G=17,B=21,L=659
R=173,G=16,B=17,L=658
R=174,G=20,B=19,L=660
R=171,G=17,B=18,L=659
R=94,G=14,B=10,L=654
R=90,G=12,B=12,L=653
R=94,G=13,B=10,L=654
R=93,G=13,B=12,L=654
R=81,G=10,B=10,L=653
R=141,G=16,B=16,L=657
R=139,G=15,B=15,L=656
R=139,G=18,B=17,L=657
R=166,G=19,B=20,L=659
R=177,G=16,B=18,L=658
R=155,G=17,B=17,L=657
R=172,G=17,B=19,L=658
R=177,G=15,B=16,L=658
R=171,G=14,B=18,L=658
R=172,G=12,B=15,L=657
R=165,G=19,B=20,L=659
R=162,G=19,B=19,L=659
R=154,G=18,B=18,L=658
R=155,G=18,B=17,L=658
R=155,G=19,B=19,L=659
R=153,G=21,B=19,L=659
R=150,G=14,B=15,L=655
R=152,G=16,B=17,L=657
R=175,G=15,B=18,L=658
R=138,G=15,B=17,L=656
R=169,G=16,B=18,L=659
R=163,G=14,B=16,L=657
R=109,G=12,B=13,L=654
R=163,G=16,B=19,L=657
R=122,G=10,B=14,L=654
R=157,G=14,B=16,L=656
R=154,G=14,B=16,L=656
R=157,G=19,B=15,L=659
R=174,G=17,B=17,L=659
R=177,G=17,B=19,L=659
R=98,G=13,B=13,L=654
R=105,G=12,B=11,L=653
R=176,G=16,B=18,L=658
R=169,G=15,B=17,L=658
R=145,G=16,B=15,L=657
R=87,G=11,B=13,L=653
R=72,G=11,B=10,L=652
R=60,G=5,B=6,L=649
R=60,G=6,B=8,L=650
R=113,G=15,B=14,L=655
R=157,G=20,B=19,L=659
R=167,G=16,B=19,L=658
R=172,G=17,B=17,L=658
R=172,G=19,B=20,L=659
R=170,G=17,B=19,L=658
R=175,G=17,B=18,L=658
R=178,G=17,B=18,L=659
R=176,G=15,B=17,L=658
R=176,G=16,B=20,L=658
R=176,G=16,B=18,L=658
R=177,G=16,B=17,L=658
R=139,G=15,B=16,L=656
R=177,G=20,B=20,L=660
R=157,G=17,B=16,L=657
R=176,G=16,B=18,L=659
R=181,G=19,B=20,L=660
R=176,G=17,B=18,L=658
R=180,G=20,B=19,L=660
R=114,G=15,B=15,L=655
R=114,G=15,B=13,L=655
R=110,G=15,B=14,L=654
R=174,G=14,B=18,L=657
R=180,G=19,B=20,L=660
R=176,G=19,B=20,L=659
R=180,G=18,B=18,L=660
R=179,G=18,B=18,L=659
R=177,G=16,B=18,L=658
R=179,G=20,B=19,L=660
R=173,G=20,B=20,L=660
R=170,G=16,B=17,L=658
R=176,G=16,B=22,L=659
R=178,G=16,B=18,L=658
R=175,G=18,B=20,L=658
R=181,G=19,B=19,L=660
R=182,G=19,B=19,L=660
R=177,G=19,B=20,L=659
R=140,G=17,B=16,L=657
R=132,G=15,B=15,L=656
R=132,G=16,B=15,L=656
R=131,G=14,B=14,L=655
R=132,G=17,B=18,L=656
R=132,G=14,B=14,L=655
R=178,G=16,B=18,L=658
R=82,G=11,B=12,L=653
R=158,G=17,B=18,L=657
R=115,G=15,B=15,L=655
R=176,G=17,B=19,L=659
R=180,G=19,B=19,L=660
R=177,G=17,B=17,L=658
R=168,G=19,B=20,L=659
R=175,G=19,B=18,L=659
R=151,G=11,B=13,L=656
R=156,G=14,B=16,L=656
R=138,G=15,B=16,L=656
R=94,G=10,B=12,L=652
R=71,G=9,B=8,L=651
R=54,G=9,B=9,L=651
R=85,G=9,B=10,L=651
R=126,G=13,B=14,L=654
R=165,G=15,B=16,L=657
R=178,G=16,B=17,L=658
