red,green,blue,lum
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
R=0,G=0,B=0,L=0
