red,green,blue,lum
R=158,G=95,B=16,L=661
R=216,G=121,B=22,L=667
R=217,G=125,B=23,L=669
R=215,G=117,B=23,L=666
R=215,G=120,B=23,L=667
R=226,G=121,B=23,L=668
R=236,G=124,B=23,L=668
R=240,G=124,B=24,L=669
R=237,G=121,B=24,L=668
R=239,G=122,B=24,L=669
R=238,G=120,B=25,L=669
R=236,G=115,B=25,L=667
R=231,G=118,B=21,L=665
R=211,G=117,B=22,L=667
R=181,G=105,B=20,L=665
R=145,G=89,B=15,L=660
R=141,G=87,B=16,L=660
R=137,G=85,B=15,L=660
R=116,G=72,B=13,L=655
R=113,G=70,B=12,L=656
R=109,G=71,B=15,L=658
R=89,G=57,B=13,L=656
R=85,G=54,B=10,L=655
R=82,G=53,B=11,L=655
R=74,G=48,B=9,L=653
R=76,G=49,B=9,L=654
R=73,G=48,B=10,L=654
R=73,G=49,B=11,L=654
R=86,G=55,B=10,L=655
R=101,G=64,B=14,L=657
R=106,G=68,B=15,L=657
R=169,G=101,B=20,L=663
R=195,G=113,B=21,L=665
R=199,G=114,B=21,L=664
R=221,G=119,B=22,L=667
R=231,G=121,B=22,L=668
R=237,G=120,B=21,L=668
R=235,G=117,B=23,L=668
R=234,G=116,B=25,L=668
R=232,G=120,B=23,L=667
R=223,G=122,B=22,L=668
R=223,G=120,B=24,L=668
R=213,G=117,B=24,L=666
R=201,G=115,B=22,L=666
R=187,G=109,B=22,L=665
R=165,G=97,B=20,L=661
R=155,G=95,B=17,L=662
R=138,G=87,B=16,L=660
R=131,G=81,B=17,L=658
R=123,G=79,B=13,L=659
R=106,G=67,B=11,L=656
R=99,G=61,B=12,L=655
R=91,G=57,B=10,L=655
R=83,G=53,B=9,L=654
R=81,G=53,B=10,L=654
R=95,G=61,B=11,L=655
R=128,G=79,B=14,L=659
R=151,G=91,B=15,L=661
R=171,G=101,B=20,L=662
R=194,G=115,B=22,L=666
R=225,G=120,B=23,L=667
R=238,G=124,B=24,L=669
R=241,G=121,B=23,L=669
R=234,G=114,B=22,L=668
R=232,G=114,B=22,L=667
R=230,G=110,B=22,L=666
R=234,G=114,B=22,L=668
R=228,G=112,B=21,L=666
R=234,G=116,B=23,L=668
R=237,G=117,B=22,L=668
R=237,G=124,B=26,L=669
