red,green,blue,lum
R=208,G=147,B=10,L=676
R=211,G=148,B=9,L=677
R=210,G=148,B=8,L=676
R=210,G=148,B=10,L=677
R=208,G=147,B=9,L=676
R=209,G=149,B=11,L=677
R=207,G=147,B=10,L=676
R=209,G=147,B=9,L=676
R=207,G=147,B=11,L=676
R=211,G=149,B=11,L=678
R=211,G=149,B=11,L=678
R=204,G=142,B=11,L=675
R=203,G=144,B=9,L=676
R=202,G=144,B=10,L=676
R=198,G=138,B=11,L=675
R=198,G=142,B=9,L=675
R=196,G=141,B=9,L=675
R=193,G=141,B=11,L=674
R=194,G=138,B=12,L=675
R=195,G=137,B=11,L=674
R=196,G=143,B=10,L=677
R=194,G=139,B=13,L=675
R=198,G=141,B=10,L=675
R=200,G=143,B=11,L=676
R=204,G=145,B=10,L=676
R=206,G=145,B=9,L=675
R=200,G=145,B=10,L=675
R=203,G=144,B=11,L=676
R=209,G=146,B=12,L=678
R=215,G=151,B=12,L=678
R=214,G=149,B=10,L=677
R=210,G=150,B=10,L=677
R=212,G=149,B=14,L=677
R=214,G=152,B=12,L=678
R=209,G=149,B=11,L=676
R=216,G=150,B=12,L=678
R=213,G=151,B=10,L=677
R=210,G=148,B=11,L=676
R=211,G=151,B=8,L=676
R=215,G=150,B=11,L=678
R=214,G=150,B=12,L=678
R=210,G=153,B=11,L=678
R=213,G=146,B=12,L=677
R=212,G=149,B=12,L=677
R=214,G=151,B=11,L=677
R=212,G=150,B=11,L=677
R=214,G=150,B=11,L=678
R=212,G=149,B=12,L=677
R=211,G=151,B=12,L=677
R=211,G=148,B=10,L=676
R=213,G=145,B=10,L=676
R=212,G=146,B=9,L=676
R=213,G=149,B=9,L=677
R=211,G=149,B=11,L=677
R=212,G=149,B=10,L=677
R=215,G=148,B=11,L=677
R=214,G=149,B=9,L=677
R=214,G=151,B=10,L=677
R=211,G=151,B=13,L=676
R=211,G=151,B=16,L=677
R=214,G=150,B=10,L=677
R=213,G=148,B=9,L=677
R=211,G=148,B=11,L=678
R=215,G=152,B=11,L=678
R=214,G=152,B=13,L=679
R=212,G=147,B=12,L=676
R=216,G=151,B=15,L=680
R=214,G=151,B=11,L=678
R=214,G=150,B=11,L=677
R=210,G=147,B=14,L=676
R=211,G=149,B=11,L=675
R=212,G=150,B=12,L=677
R=210,G=147,B=7,L=675
R=213,G=149,B=11,L=677
R=0,G=149,B=11,L=678
R=210,G=145,B=10,L=676
R=209,G=146,B=11,L=676
R=211,G=149,B=10,L=676
R=212,G=151,B=12,L=677
R=213,G=148,B=9,L=677
R=215,G=152,B=10,L=677
R=212,G=150,B=11,L=677
R=213,G=149,B=9,L=677
R=210,G=147,B=13,L=676
R=212,G=147,B=9,L=676
R=212,G=153,B=11,L=678
R=214,G=151,B=11,L=678
R=214,G=151,B=11,L=678
R=211,G=147,B=10,L=676
R=210,G=150,B=11,L=675
R=214,G=150,B=12,L=678
R=205,G=148,B=9,L=675
R=209,G=149,B=11,L=677
R=211,G=146,B=11,L=676
R=214,G=150,B=12,L=678
R=213,G=149,B=11,L=677
R=209,G=149,B=10,L=676
R=211,G=147,B=10,L=676
R=209,G=151,B=12,L=677
R=213,G=150,B=10,L=677
